Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
4729.25,1,10.0,2,4,4,97,9,0,0
2166.55,0,0.0,0,2,0,44,11,0,1
1857.46,1,4.0,1,0,2,76,14,1,0
2524.1000000000004,4,6.0,2,5,2,105,9,0,0
595.84,0,13.0,0,7,0,4,7,4,1
2524.1000000000004,1,8.0,0,0,2,37,9,4,0
3426.59,2,22.0,1,1,0,111,12,4,0
1928.09,1,23.0,0,7,0,34,8,1,0
3823.56,1,16.0,0,1,3,75,8,4,0
347.38,1,5.0,1,7,0,21,7,4,0
1921.87,3,3.0,0,7,3,72,11,3,0
1180.45,2,11.0,2,4,0,23,1,0,0
3699.33,0,8.0,0,3,1,46,9,4,0
1139.71,3,13.0,1,1,0,42,13,1,0
2292.44,2,10.0,2,0,0,106,7,1,0
4095.29,0,20.0,1,0,4,75,14,4,0
4577.38,1,13.0,2,4,0,112,14,3,0
3614.42,3,17.0,0,7,0,76,11,0,0
2149.0,0,23.0,0,1,0,102,8,4,0
2862.07,1,19.0,1,3,0,106,3,4,0
3450.0,3,8.0,1,4,3,33,6,3,0
4375.29,0,19.0,1,5,4,91,6,4,0
4443.43,0,15.0,0,0,3,119,10,4,0
4655.19,3,8.0,2,5,3,85,7,4,0
4054.5,3,15.0,0,4,1,101,5,1,0
738.26,0,9.0,2,7,1,34,6,1,0
3739.46,4,6.0,1,6,3,96,3,3,0
4073.89,1,18.0,2,3,0,111,6,3,1
4389.97,0,6.0,1,3,4,79,2,3,0
4624.46,3,19.0,1,4,4,101,1,3,0
2548.25,0,15.0,1,4,0,99,13,4,0
3277.19,3,23.0,1,2,1,57,2,0,0
52.72,1,5.0,2,6,1,58,10,3,0
2866.05,3,7.0,0,1,2,65,1,1,0
2368.63,3,15.0,2,1,0,95,12,1,0
4811.72,4,3.0,0,0,2,39,11,1,0
4509.04,3,6.0,1,1,4,37,11,0,0
3989.03,2,14.0,0,2,2,51,10,3,0
289.69,2,7.0,0,6,2,13,5,0,0
2013.13,4,17.0,0,3,0,84,13,1,0
3481.73,1,3.0,2,7,4,106,7,3,0
2524.1000000000004,1,23.0,1,0,3,103,9,2,0
1182.89,3,1.0,0,0,0,69,4,3,0
4438.1,4,13.0,0,4,1,117,13,4,0
653.25,4,21.0,0,0,4,75,6,4,0
261.61,4,1.0,2,4,0,92,9,4,0
2905.03,2,19.0,1,4,0,108,13,3,0
4732.59,1,3.0,0,5,1,8,9,1,0
4173.95,2,19.0,1,1,2,114,5,1,0
4873.99,1,1.0,1,0,4,68,14,0,0
3768.85,0,17.0,1,3,2,68,12,1,0
2189.66,3,17.0,1,5,0,67,10,3,0
4733.35,0,15.0,1,0,1,69,2,3,0
2136.03,3,22.0,3,6,0,44,9,0,1
2524.1000000000004,3,14.0,0,5,0,1,6,3,0
2243.74,4,16.0,0,7,1,2,10,3,0
4070.8,2,19.0,1,3,4,13,11,3,0
4588.88,2,6.0,2,1,2,101,4,0,0
1791.62,1,21.0,1,2,3,63,12,4,0
2313.93,4,18.0,1,5,0,56,10,1,0
4492.14,2,23.0,2,7,4,32,4,3,0
239.98,1,10.0,1,6,0,43,11,3,0
3920.42,1,15.0,1,6,0,53,10,3,0
2273.82,1,0.0,1,6,0,8,11,0,0
2524.1000000000004,2,3.0,0,0,1,11,5,3,0
2237.37,3,12.0,2,3,2,51,11,1,0
2096.36,4,10.0,1,0,2,76,9,3,0
3784.31,4,21.0,1,2,4,115,10,0,0
2524.1000000000004,1,5.0,0,1,3,4,11,3,0
2459.82,1,19.0,0,5,4,24,12,0,0
4164.51,1,4.0,0,5,2,6,1,1,0
3661.06,1,1.0,3,6,0,33,5,3,0
1656.75,1,17.0,2,1,4,84,10,0,0
2938.63,1,8.0,2,6,2,75,9,3,0
3335.74,4,5.0,1,1,4,29,13,4,0
122.38,1,5.0,0,7,0,51,7,0,0
1982.8,3,3.0,2,1,3,111,10,3,0
4963.23,0,19.0,1,3,2,18,8,0,1
3188.1,2,7.0,1,0,3,80,12,0,0
1674.55,2,14.0,0,1,4,11,7,4,0
1253.87,4,16.0,1,5,1,5,10,4,0
1051.36,2,4.0,0,5,4,100,8,1,0
2011.2,1,5.0,0,0,3,20,5,1,0
970.36,3,4.0,3,6,3,69,10,4,0
680.25,4,9.0,3,6,2,61,3,4,0
1823.5,4,4.0,1,2,1,25,3,4,0
3036.96,3,14.0,1,1,2,87,11,4,0
736.26,1,1.0,2,1,4,37,14,3,0
226.49,4,6.0,0,6,2,67,13,0,1
177.99,3,12.0,0,6,0,36,14,1,0
2524.1000000000004,1,0.0,2,6,2,65,12,3,0
954.71,3,13.0,1,5,2,61,14,4,0
2698.58,1,20.0,0,5,0,107,11,1,0
2281.32,2,5.0,1,3,4,57,14,4,0
1627.21,3,12.0,0,2,4,59,5,3,1
4168.55,1,16.0,1,0,3,52,13,4,0
2527.21,0,6.0,1,0,4,20,9,0,0
462.19,2,15.0,1,3,0,22,9,1,1
1482.34,4,0.0,2,1,2,12,2,0,0
4866.83,3,14.0,0,1,0,70,13,0,0
49997.8,1,3.0,0,3,2,53,13,4,0
1277.08,4,5.0,0,0,0,1,3,1,0
840.34,4,18.0,2,0,4,49,13,3,0
2480.96,4,5.0,1,0,0,78,11,3,0
2409.92,4,2.0,2,5,0,99,7,3,0
2524.1000000000004,1,12.0,0,3,2,94,4,3,1
2649.14,1,16.0,2,0,3,116,13,0,0
1164.82,0,15.0,0,6,3,110,3,4,0
579.07,0,9.0,1,0,3,10,14,3,0
2854.45,1,3.0,1,1,2,115,3,4,0
4663.33,1,12.0,0,6,1,90,4,3,0
693.06,0,17.0,0,7,2,65,3,4,0
3525.55,1,9.0,1,6,0,70,14,1,0
2192.29,3,19.0,2,7,3,34,8,3,0
1473.41,3,4.0,1,0,2,4,7,4,0
4266.28,3,3.0,1,5,1,17,8,0,0
2524.1000000000004,3,7.0,1,6,1,19,3,0,0
2918.64,4,23.0,2,3,0,72,5,4,0
2218.07,3,14.0,2,1,4,114,7,4,1
410.84,0,1.0,0,6,1,64,8,1,0
2976.55,4,11.0,0,2,0,79,8,3,0
2097.11,0,23.0,2,1,3,95,8,0,0
438.35,2,9.0,1,6,3,108,8,1,0
2981.08,2,11.0,3,0,4,111,9,4,0
54.31,1,5.0,0,2,3,97,3,4,0
1046.56,4,19.0,0,1,4,85,5,1,0
49997.8,3,16.0,0,6,3,75,9,0,0
2524.1000000000004,2,17.0,0,0,4,76,12,3,0
3235.18,4,15.0,2,7,2,94,5,3,0
4748.79,3,14.0,2,5,2,28,9,1,0
860.11,2,8.0,1,5,0,73,3,4,0
2088.47,1,12.0,0,6,0,11,10,4,0
2879.61,0,16.0,2,4,3,15,4,1,0
2254.83,1,15.0,2,4,1,19,9,3,0
3103.79,2,21.0,2,2,3,35,6,3,0
2023.47,0,5.0,0,2,3,52,12,0,0
746.78,2,12.0,0,0,3,20,2,3,0
449.78,2,12.0,1,0,3,62,1,4,0
3723.49,3,0.0,1,3,4,112,5,0,0
1196.93,4,3.0,1,3,1,30,13,0,0
4238.01,0,18.0,2,0,4,45,7,1,0
3716.42,1,19.0,0,7,1,52,9,0,0
252.02,0,1.0,2,0,2,10,13,4,0
1010.05,4,5.0,1,6,4,104,7,1,0
1463.5,4,12.0,3,6,1,47,6,3,0
2974.44,4,6.0,0,1,2,88,11,4,0
4050.09,3,6.0,0,6,1,110,6,0,0
306.36,2,9.0,0,2,4,113,12,3,0
1251.8,1,6.0,2,3,2,86,10,1,0
1884.17,1,22.0,1,2,4,115,8,0,0
920.97,1,4.0,1,1,2,109,3,4,0
2728.73,0,2.0,2,5,0,23,13,1,0
2392.62,3,5.0,2,1,4,12,3,0,0
1585.9,3,7.0,2,1,2,54,13,0,0
2586.85,1,17.0,2,6,4,71,5,1,0
1782.33,1,16.0,0,3,1,104,7,1,0
1719.25,4,22.0,2,6,0,103,4,4,0
1330.65,0,20.0,1,7,0,97,2,0,0
2704.49,4,0.0,2,6,3,39,14,3,0
2223.36,2,18.0,0,1,0,98,12,4,0
985.64,4,4.0,1,7,3,90,13,3,0
69.77,2,9.0,2,1,3,76,3,3,0
758.89,2,9.0,3,0,1,36,1,2,0
218.96,4,12.0,2,0,1,21,6,4,0
2160.84,1,1.0,1,0,4,3,1,4,0
1129.36,4,10.0,1,2,4,92,6,0,0
2105.17,2,3.0,1,1,0,70,6,3,0
1650.6,3,22.0,3,3,4,32,10,0,0
2692.38,2,6.0,2,0,0,67,12,4,0
3620.71,0,14.0,3,7,3,17,1,0,0
2399.17,3,22.0,0,6,2,103,14,3,0
314.53,4,2.0,2,6,1,68,11,3,0
92.46,2,10.0,3,7,4,115,10,2,0
1070.09,3,6.0,0,0,0,27,14,3,1
2127.71,1,1.0,1,5,0,88,3,0,0
229.3,4,9.0,0,6,2,117,6,4,0
1642.03,2,15.0,2,3,2,101,13,4,0
4435.69,0,12.0,1,4,3,79,2,3,0
2524.1000000000004,1,11.0,3,7,3,38,12,4,0
4742.84,0,17.0,1,3,1,55,5,1,0
4284.08,3,7.0,1,7,4,90,9,2,0
4159.75,0,3.0,0,3,4,41,8,4,0
4318.97,2,16.0,2,2,2,56,2,4,0
404.85,2,8.0,1,7,0,118,4,1,0
760.08,0,13.0,0,1,0,5,5,1,0
676.19,3,7.0,2,0,1,81,5,3,0
560.65,2,8.0,0,7,1,91,13,0,0
1641.92,2,5.0,2,3,2,80,3,3,0
4151.93,0,12.0,0,2,1,24,12,2,0
1263.55,0,19.0,1,5,1,4,12,4,0
1224.89,3,19.0,2,2,0,99,5,3,0
3381.06,1,8.0,0,2,0,6,4,0,0
489.14,4,10.0,0,6,1,89,5,0,0
1804.6,4,21.0,2,1,1,88,1,0,0
1480.65,4,8.0,0,1,3,17,9,4,0
4237.27,0,12.0,2,1,2,9,11,4,0
2574.93,2,5.0,2,4,3,68,4,3,1
3234.14,2,0.0,0,0,1,69,5,4,0
649.53,1,20.0,0,2,1,48,2,1,1
4644.95,2,21.0,0,2,2,79,3,1,0
1615.65,0,5.0,0,7,2,77,9,1,0
3535.66,3,0.0,2,5,1,22,13,0,0
4773.36,3,9.0,0,0,4,72,1,4,0
2545.7,4,4.0,2,3,2,72,12,3,0
2540.14,4,0.0,1,7,4,92,11,0,0
590.66,3,11.0,3,5,3,23,10,4,1
1954.43,4,14.0,2,6,2,50,2,1,0
4263.06,4,22.0,1,7,3,93,3,0,0
679.86,1,11.0,2,2,0,75,2,4,0
4587.93,3,17.0,0,0,3,72,4,3,0
3338.21,1,14.0,1,7,1,25,7,0,0
2107.69,4,12.0,1,6,2,2,14,1,0
2734.76,2,15.0,0,0,1,71,3,0,0
756.73,4,23.0,3,6,3,51,8,3,0
1091.33,4,15.0,0,0,3,70,8,4,0
1435.61,1,8.0,1,5,0,10,4,4,0
1927.31,0,19.0,2,0,0,26,2,1,0
4578.03,0,0.0,2,6,0,83,5,0,0
1841.01,2,0.0,2,2,2,105,14,0,0
2621.56,4,16.0,0,5,4,38,1,2,0
814.32,0,11.0,1,1,3,79,9,1,0
3681.19,2,16.0,2,4,4,9,1,4,0
2803.6,4,16.0,1,1,4,80,2,0,0
2202.34,3,4.0,1,2,1,32,7,1,0
4736.2,2,11.0,1,2,2,68,7,1,0
4453.8,0,10.0,2,0,2,46,11,1,0
3299.26,4,20.0,1,3,2,38,1,0,0
4609.45,2,1.0,1,2,3,1,8,4,0
2826.09,1,19.0,0,7,3,76,13,4,0
4135.55,2,19.0,1,5,1,117,11,3,1
2050.25,0,3.0,1,7,2,92,8,0,0
438.29,4,16.0,1,2,1,10,7,4,1
4970.77,3,15.0,1,1,3,115,8,0,0
832.33,3,0.0,0,1,3,89,9,4,0
1261.29,2,16.0,2,1,2,78,9,0,0
819.7,1,20.0,2,0,0,67,4,0,1
1690.71,3,16.0,1,3,1,54,12,0,0
1449.95,1,18.0,1,3,3,59,2,4,0
3007.51,2,4.0,2,4,1,70,10,3,0
4982.32,4,12.0,1,6,0,73,11,0,0
2524.1000000000004,4,13.0,0,5,0,106,8,3,0
3893.32,3,6.0,1,4,3,21,6,4,0
644.32,3,15.0,1,1,1,114,9,0,1
104.08,3,16.0,2,6,3,67,1,4,0
3194.69,3,3.0,0,4,0,25,14,3,0
4367.21,2,9.0,1,4,1,104,4,0,0
885.61,1,18.0,1,0,3,7,6,3,0
1711.36,0,23.0,1,7,2,56,3,1,0
847.91,2,13.0,1,1,1,87,7,1,0
4533.01,3,23.0,0,5,0,82,2,4,0
1355.45,3,7.0,2,7,4,104,14,2,0
2226.34,3,15.0,1,1,3,112,5,4,0
4474.23,0,4.0,2,7,2,99,4,1,0
2766.58,1,19.0,0,3,4,20,14,1,0
4664.58,3,14.0,1,7,1,97,7,0,0
4632.62,4,14.0,0,1,0,8,11,1,0
2310.7,3,19.0,1,2,0,104,8,1,0
2914.0,0,8.0,1,5,4,46,12,1,0
1155.42,0,6.0,1,7,0,36,1,1,0
4952.73,0,17.0,0,2,3,91,14,4,0
1395.19,0,11.0,2,7,4,91,7,1,0
3917.62,2,6.0,1,6,4,75,5,1,0
1568.28,3,22.0,0,2,0,96,1,1,0
1568.65,4,23.0,0,0,2,9,2,4,0
523.8,2,15.0,1,5,0,20,11,1,0
2801.68,1,23.0,1,5,2,106,14,4,0
1227.94,2,21.0,3,6,4,61,11,3,0
746.23,3,22.0,3,3,4,14,13,1,0
1137.2,2,18.0,0,4,4,26,10,1,0
1259.21,0,11.0,1,4,1,23,14,1,0
2522.9,2,18.0,2,3,3,30,4,3,0
1932.69,0,16.0,2,2,2,5,7,3,0
382.07,2,23.0,2,3,1,22,2,4,0
2682.46,1,0.0,0,0,2,45,9,4,0
3939.8,3,8.0,0,6,3,110,5,2,0
2873.3,3,6.0,0,0,0,72,13,3,0
4872.83,2,1.0,0,5,1,75,4,3,0
500.26,0,19.0,1,6,1,23,8,3,0
4106.66,1,16.0,0,6,1,52,1,1,0
2530.93,0,10.0,2,0,2,115,1,0,0
2610.37,3,4.0,0,3,2,32,1,0,0
2597.9,0,8.0,2,5,3,47,12,4,0
1629.97,1,7.0,0,2,3,115,10,1,0
1626.15,1,8.0,3,5,0,66,11,0,0
3161.06,0,19.0,2,4,1,83,13,1,0
228.6,4,22.0,1,0,2,69,13,1,0
2524.1000000000004,1,1.0,0,1,2,83,6,1,1
3624.33,1,9.0,2,0,3,47,4,1,0
1784.85,4,23.0,2,1,2,30,4,4,0
1090.7,3,11.0,1,3,3,68,10,0,0
1070.87,2,23.0,2,1,1,60,3,4,0
413.79,2,13.0,1,5,3,67,6,4,0
453.15,2,8.0,1,0,4,48,14,4,0
837.61,2,13.0,0,0,3,14,7,4,0
100.77,3,18.0,2,3,1,51,12,4,0
1334.85,4,8.0,3,5,1,111,7,3,0
2524.1000000000004,1,13.0,1,7,4,84,4,3,0
4976.13,3,21.0,2,7,4,34,11,3,1
4958.48,2,10.0,1,6,4,86,13,3,0
939.31,0,21.0,0,0,1,76,5,0,0
1069.1,2,11.0,2,0,4,118,6,4,0
2462.07,3,3.0,1,0,2,92,13,1,0
748.18,3,4.0,2,0,0,50,2,4,0
2522.68,1,4.0,0,7,0,105,8,4,0
1999.95,0,18.0,1,6,4,4,10,1,0
1626.49,2,13.0,1,4,3,36,1,0,0
4113.91,0,4.0,2,0,3,87,8,4,0
2524.1000000000004,4,7.0,2,7,2,106,14,3,0
4939.51,4,19.0,0,4,0,71,5,0,0
1119.33,1,22.0,1,0,1,27,3,1,0
4441.95,0,14.0,1,3,0,49,7,1,0
2691.54,3,0.0,0,5,4,65,1,3,0
2959.34,2,2.0,2,1,4,76,8,0,1
4481.98,3,11.0,0,1,0,118,3,1,0
4713.44,4,19.0,2,6,2,13,1,3,0
3635.42,0,4.0,1,7,4,86,7,3,0
1742.47,1,3.0,1,2,2,106,10,0,0
2450.89,0,21.0,1,0,3,12,6,3,0
3077.19,4,16.0,1,0,4,34,3,1,0
4144.06,3,14.0,2,5,4,119,9,4,0
3291.45,0,6.0,3,1,2,80,8,3,0
1830.41,0,16.0,1,0,3,113,13,4,0
2092.31,2,5.0,0,5,0,5,9,4,0
256.94,1,17.0,2,7,4,31,7,1,0
4621.72,1,15.0,1,5,2,101,10,3,0
445.15,2,1.0,2,5,4,53,8,0,0
2901.75,2,14.0,0,7,0,17,8,4,0
4358.9,4,12.0,1,4,1,118,6,0,0
2107.22,3,8.0,0,0,4,40,4,3,0
4001.63,2,1.0,1,7,3,73,6,1,0
4020.06,4,12.0,2,7,0,51,3,4,0
303.93,3,22.0,0,7,0,119,8,0,0
2063.66,0,2.0,1,0,0,8,6,1,0
3456.67,2,12.0,0,1,2,110,11,0,0
2114.66,1,21.0,2,7,1,47,13,3,0
2524.1000000000004,1,4.0,0,4,3,46,13,4,1
2974.32,0,12.0,0,0,2,16,10,0,0
760.39,0,12.0,1,5,3,46,9,0,1
2062.85,0,5.0,0,3,3,40,4,0,0
147.17,4,20.0,0,3,3,2,14,4,1
752.38,0,14.0,2,4,2,94,3,4,0
2563.71,4,5.0,2,4,1,102,1,3,0
2870.06,2,12.0,0,2,3,75,6,0,0
735.44,2,12.0,0,1,3,42,6,1,0
3779.32,4,9.0,2,2,0,45,9,0,0
1868.07,3,4.0,1,2,4,107,11,4,0
4603.65,3,11.0,0,1,2,111,2,0,0
1941.38,2,12.0,0,0,2,91,7,1,0
753.31,2,10.0,1,2,3,65,1,3,0
3791.06,3,1.0,2,2,3,86,13,4,0
2841.16,3,1.0,2,5,0,108,5,1,0
1936.51,4,19.0,0,3,3,77,5,0,0
1783.01,3,22.0,0,6,4,2,10,1,0
758.09,1,17.0,2,6,1,26,7,1,0
1707.47,3,8.0,0,4,2,6,2,1,0
151.57,3,9.0,1,1,4,23,1,3,0
2514.5,1,2.0,0,1,3,25,8,1,0
4484.14,0,2.0,0,6,3,73,4,3,0
3977.68,1,11.0,2,3,2,43,5,0,0
147.46,2,23.0,2,6,1,37,10,0,0
4406.9,2,7.0,1,4,1,67,6,2,0
2264.36,2,11.0,0,2,4,6,6,4,0
2524.1000000000004,0,4.0,0,4,1,36,3,2,0
3763.3,0,19.0,0,6,3,109,12,3,0
1617.75,2,1.0,2,4,4,20,4,3,0
1270.33,3,12.0,1,5,2,117,13,1,0
810.79,4,15.0,0,4,0,3,4,0,0
2435.68,4,0.0,0,5,1,62,7,1,0
471.5,0,23.0,2,0,0,76,9,0,0
3929.14,0,9.0,1,5,1,98,5,1,0
2356.02,4,12.0,0,4,0,64,7,1,0
2237.65,3,22.0,2,4,0,15,11,4,0
14.26,3,11.0,0,0,2,50,6,1,0
4090.23,0,1.0,1,7,1,60,5,1,0
2466.72,3,20.0,2,3,4,5,1,1,1
2202.27,4,18.0,2,4,2,67,13,4,0
3808.12,0,12.0,0,1,2,58,5,1,0
319.18,1,13.0,1,6,4,27,10,0,0
1836.57,0,14.0,2,3,4,68,4,3,0
2524.1000000000004,2,10.0,2,3,4,20,11,1,0
2305.58,3,21.0,0,5,2,69,11,1,0
912.29,3,1.0,1,1,0,93,5,0,0
1499.89,4,0.0,0,0,2,93,7,1,1
1504.5,0,11.0,1,2,0,32,8,1,0
4959.89,4,3.0,1,3,0,95,8,0,0
1634.35,0,15.0,2,3,2,113,10,1,0
1029.88,0,8.0,2,1,1,6,10,0,0
4114.07,1,19.0,2,6,4,107,14,0,0
2108.75,3,18.0,0,0,3,76,4,4,1
2222.1,2,5.0,2,5,1,60,4,1,0
2746.7,2,14.0,3,7,1,7,4,0,0
2980.47,3,11.0,2,1,3,7,4,4,1
2954.83,4,21.0,2,2,3,22,14,1,0
177.33,2,1.0,0,5,4,44,7,4,0
4095.12,1,16.0,2,1,2,91,10,3,0
978.29,1,5.0,2,7,4,30,4,3,0
1465.25,1,14.0,0,4,4,102,11,0,0
871.28,2,21.0,2,3,1,52,13,4,0
3836.55,1,17.0,1,7,2,74,5,4,0
2524.1000000000004,1,7.0,2,2,0,29,13,4,0
3777.7,4,19.0,0,0,3,53,4,0,0
3268.73,3,7.0,0,7,2,70,1,1,0
525.27,2,17.0,1,4,4,80,6,0,0
1510.99,3,20.0,0,1,3,50,3,0,0
2538.79,1,9.0,2,5,1,110,6,4,0
1528.2,4,12.0,0,7,2,106,6,1,0
2524.1000000000004,3,1.0,2,2,2,10,14,0,0
4349.71,0,11.0,0,5,2,54,2,3,0
3740.18,2,16.0,0,5,3,31,11,4,0
1729.37,1,11.0,2,3,2,69,6,0,0
3826.24,1,4.0,0,7,0,1,3,3,0
3139.56,0,0.0,0,4,0,16,5,3,0
23.91,1,0.0,0,1,4,30,13,0,0
1904.41,3,12.0,1,2,2,66,6,0,0
1455.99,1,15.0,1,0,1,54,14,1,0
1093.45,3,12.0,0,0,0,81,1,4,0
1261.69,3,9.0,2,6,0,1,7,4,0
4712.11,2,14.0,0,0,4,13,10,0,0
2434.15,2,15.0,2,5,4,108,8,3,0
4239.31,2,6.0,0,1,0,36,1,4,0
1075.01,2,12.0,1,0,0,117,2,0,0
876.15,0,1.0,0,5,3,49,7,4,0
49997.8,0,19.0,1,0,1,98,11,4,0
2481.04,4,6.0,0,3,0,59,14,0,0
2524.1000000000004,3,16.0,0,1,0,1,7,3,0
319.83,4,4.0,0,5,0,3,13,4,1
4582.6,0,12.0,0,3,1,75,5,4,0
2080.15,4,3.0,2,3,2,27,5,0,0
781.08,3,7.0,2,2,3,40,13,3,0
3418.5,2,13.0,0,0,3,41,10,0,0
3985.53,1,12.0,0,0,1,84,3,1,0
241.64,0,0.0,2,2,0,17,14,0,0
4936.04,3,15.0,1,7,4,54,1,0,0
3486.65,1,23.0,1,4,1,104,9,1,0
1610.4,0,23.0,1,6,3,80,13,0,0
2524.1000000000004,3,1.0,0,0,2,91,12,3,0
1965.69,0,13.0,0,0,2,63,9,0,0
1106.73,3,3.0,0,7,0,22,2,3,0
2473.3,0,14.0,2,3,3,119,6,3,0
3910.55,0,1.0,1,0,2,96,11,3,0
3302.35,2,18.0,0,1,3,119,14,3,0
2182.49,3,3.0,1,3,1,104,2,3,0
599.12,4,16.0,1,2,3,57,5,3,0
4786.0,1,0.0,1,5,1,41,4,1,0
1355.5,0,1.0,2,3,4,16,6,0,1
1392.78,2,22.0,2,6,1,102,1,1,0
3229.28,4,8.0,0,5,4,40,5,0,0
3853.7,0,0.0,1,2,3,97,1,3,0
4920.84,3,20.0,0,0,4,26,5,2,0
4845.98,1,12.0,3,1,0,101,4,3,0
4569.23,4,12.0,0,1,4,91,4,1,0
2179.39,1,14.0,0,1,1,65,1,1,0
837.51,0,6.0,0,1,4,25,10,0,0
2924.43,2,6.0,1,4,1,98,14,4,0
91.2,4,12.0,2,5,2,18,12,3,0
985.26,0,0.0,0,1,0,115,12,1,0
17.63,0,14.0,2,0,3,87,13,1,0
906.78,1,0.0,0,2,3,48,3,3,0
2376.41,2,5.0,0,1,1,117,10,3,0
1969.65,4,20.0,2,1,3,63,8,0,0
1849.64,1,6.0,2,1,1,66,10,3,0
4155.61,1,15.0,2,4,4,25,3,3,1
2524.1000000000004,0,0.0,1,7,3,99,7,1,0
4682.48,0,16.0,1,7,1,15,8,1,0
2229.48,0,18.0,0,4,2,51,6,1,0
1364.79,3,6.0,0,0,2,40,13,0,0
617.81,4,4.0,0,6,2,20,1,4,0
3361.78,4,6.0,1,6,2,103,5,1,0
4209.5,2,11.0,2,4,2,63,6,3,0
922.78,3,8.0,0,7,2,29,8,1,0
4394.37,2,10.0,2,1,0,61,8,3,0
2633.75,2,3.0,0,0,2,60,7,3,0
724.68,3,11.0,0,5,2,3,8,0,1
3216.1,3,22.0,1,5,2,2,2,4,0
2602.66,3,16.0,2,0,3,15,5,3,0
145.78,2,3.0,1,4,4,44,6,3,0
1999.22,4,11.0,1,1,4,77,9,4,0
3925.02,2,15.0,0,5,0,19,10,1,0
2779.34,1,8.0,2,7,2,109,2,0,0
1413.8,0,0.0,1,5,4,18,3,4,0
4643.57,4,14.0,0,1,2,60,6,4,0
1192.71,1,12.0,1,6,3,54,14,1,1
1267.42,4,12.0,0,1,3,85,11,3,0
1776.42,1,14.0,1,2,2,118,11,0,0
4473.22,0,20.0,0,2,2,6,13,0,1
2540.59,0,23.0,2,7,4,29,11,3,0
3412.48,4,23.0,1,0,1,11,9,4,0
4881.44,2,10.0,0,5,3,116,9,0,0
3917.57,1,22.0,2,5,1,36,2,4,0
867.14,0,16.0,1,2,2,21,12,3,0
3942.83,1,19.0,2,2,4,96,5,1,0
3742.94,3,7.0,1,7,0,87,5,1,0
1166.92,2,23.0,0,1,4,103,11,4,0
1630.12,2,21.0,2,4,4,83,13,0,0
3552.09,4,16.0,0,5,0,30,4,4,0
1195.77,1,8.0,1,3,0,76,13,3,0
1044.89,1,13.0,2,7,4,46,7,4,0
3518.85,0,20.0,0,1,0,56,4,4,0
4403.57,3,21.0,1,6,4,77,5,3,0
379.71,3,19.0,2,5,1,92,1,0,0
2232.31,1,5.0,2,3,1,65,2,4,0
3037.84,0,18.0,2,5,3,106,13,0,0
3383.0,2,4.0,2,3,3,80,6,4,0
4981.0,4,6.0,2,2,3,85,13,4,0
3415.05,2,7.0,2,7,4,42,9,2,0
49997.8,3,3.0,2,0,2,62,12,4,0
4948.72,3,6.0,0,4,2,22,5,1,0
308.04,1,19.0,1,2,0,104,6,3,0
376.81,3,12.0,0,1,2,27,5,4,0
2805.61,0,23.0,0,2,0,76,3,4,0
1796.53,2,4.0,1,2,1,79,1,1,0
488.0,1,19.0,2,1,0,119,7,4,0
1535.71,0,0.0,0,4,0,40,7,4,0
3373.4,0,6.0,0,7,1,3,10,3,0
4403.67,4,22.0,1,3,1,11,5,3,0
476.15,3,4.0,1,6,2,109,12,1,0
2703.02,3,4.0,0,5,1,76,10,1,0
1484.1,0,15.0,0,1,0,91,1,4,0
3338.29,1,5.0,2,6,0,50,10,0,0
2749.51,0,10.0,1,0,2,56,9,3,0
49997.8,0,7.0,1,3,1,7,7,1,0
193.23,3,23.0,3,3,2,103,11,1,0
2352.84,2,23.0,0,3,4,28,5,0,0
967.83,3,1.0,2,6,1,10,9,3,0
2686.22,4,4.0,2,3,4,95,11,0,0
4268.63,4,8.0,1,0,1,77,12,1,0
2524.1000000000004,1,4.0,1,1,3,70,5,1,0
1994.17,2,14.0,0,0,3,52,1,3,0
4059.84,0,19.0,0,6,2,49,8,4,0
1406.14,2,3.0,1,6,0,92,13,0,0
49997.8,3,18.0,2,6,3,73,2,4,0
4276.92,3,23.0,0,1,4,77,2,4,0
601.46,0,4.0,2,0,3,96,10,4,0
92.97,0,12.0,0,0,0,9,11,0,0
1772.22,4,0.0,2,0,3,94,2,3,0
2524.1000000000004,3,9.0,0,2,0,76,11,1,0
390.71,3,9.0,0,6,4,49,10,1,0
4071.84,4,7.0,1,6,4,109,6,3,1
49997.8,1,17.0,0,2,3,60,11,3,0
2524.1000000000004,1,23.0,3,1,4,92,5,2,0
1326.8,4,12.0,2,1,3,15,1,3,0
2559.98,3,4.0,1,3,3,15,4,1,0
3834.82,3,21.0,2,6,1,22,5,1,0
4531.38,1,16.0,1,3,0,76,5,4,0
4852.8,0,23.0,0,1,0,67,7,0,0
2136.49,0,11.0,1,4,3,77,5,0,0
4950.22,4,9.0,1,3,3,73,12,4,0
1478.3,0,11.0,1,7,4,96,7,3,0
39.84,1,17.0,1,1,4,75,3,1,0
3839.25,2,5.0,2,5,1,48,8,1,0
896.29,4,2.0,0,7,1,116,1,3,0
267.01,3,10.0,1,0,3,21,12,2,0
4620.42,2,16.0,1,1,4,60,14,3,0
3960.1,1,3.0,1,2,0,61,2,4,0
517.81,3,22.0,0,5,0,89,8,1,0
3885.67,0,23.0,3,7,3,58,11,4,0
